,化学,历史,地理,姓名,学号,性别,数学,物理,班级,生物,英语,语文,手机
1687,80,95,76,许乐大,101687,1,87,68,63,86,86,82,13374666120
1688,57,95,92,薛各蕊,101688,0,79,48,64,82,69,66,13636848707
1689,69,77,95,唐个玉,101689,0,56,82,65,76,67,80,13972863537
1690,67,82,93,罗政美,101690,1,59,84,1,96,80,95,13374302463
1691,97,82,80,梁年心,101691,1,87,83,2,75,62,93,13621897707
1692,59,88,78,宋通想,101692,1,49,68,3,93,98,72,13417777090
1693,81,91,87,孙治梦,101693,1,84,58,4,88,68,95,13812595969
1694,60,87,80,贺地比,101694,0,45,59,5,70,98,73,13521349084
1695,73,84,85,施依想,101695,1,65,90,6,65,65,73,13650706576
1696,72,93,70,张丽文,101696,0,84,73,7,99,71,66,13054252885
1697,86,87,88,高玉革,101697,0,71,95,8,94,68,69,13319659738
1698,94,93,88,乔蕊义,101698,0,63,46,9,85,96,72,13743777756
1699,92,89,86,萧新方,101699,1,61,86,10,72,71,79,13239835850
1700,66,86,78,陈不黻,101700,0,57,70,11,92,96,88,13164669585
1701,72,83,75,徐表因,101701,0,45,87,12,85,93,90,13466786045
1702,59,77,90,蓝分志,101702,0,82,83,13,96,66,81,13752598160
1703,100,91,81,罗和大,101703,0,97,72,14,99,63,94,13419661964
1704,97,93,93,韩新正,101704,1,49,63,15,72,63,95,13431378832
1705,85,93,98,黄中梅,101705,0,73,76,16,82,72,81,13657253605
1706,93,84,95,文倩比,101706,0,47,60,17,68,73,66,13948145726
1707,65,76,100,郑多时,101707,1,90,90,18,68,63,81,14014796616
1708,89,90,89,夏长样,101708,0,92,71,19,77,91,95,13452593085
1709,57,93,98,陶有在,101709,1,74,86,20,72,70,78,13366698501
1710,98,95,85,方梅发,101710,0,69,54,21,83,60,80,13663613177
1711,57,84,75,孟根果,101711,1,60,65,22,79,69,67,13822387617
1712,80,80,90,谢能革,101712,0,58,88,23,71,93,69,13969028350
1713,91,79,77,雷正想,101713,0,96,62,24,68,81,66,14065045384
1714,84,82,95,方北作,101714,1,88,92,25,89,72,65,13826058447
1715,64,88,90,韩生定,101715,1,61,93,26,94,70,72,13252727691
1716,67,82,81,孔民方,101716,1,64,85,27,89,91,79,13513847741
1717,85,95,93,孙因质,101717,0,59,75,28,93,85,80,13199721866
1718,58,77,100,曾小原,101718,1,66,56,29,67,65,85,14059213753
1719,80,86,75,姜起新,101719,1,97,87,30,91,81,68,13859051531
1720,95,86,94,丁同及,101720,0,55,83,31,69,77,75,13446069375
1721,84,77,84,谢间义,101721,1,54,86,32,85,90,95,13981254429
1722,99,78,79,施行军,101722,0,58,93,33,79,96,69,13994091685
1723,77,94,95,陶沫比,101723,0,49,48,34,73,92,85,13897072617
1724,55,92,72,罗正行,101724,1,100,99,35,80,83,78,13244302287
1725,61,79,87,毛年上,101725,0,75,46,36,90,75,85,13814307413
1726,70,85,80,易工月,101726,0,71,99,37,99,63,81,13846435626
1727,80,90,94,贺子社,101727,0,56,90,38,73,91,75,13640955505
1728,80,77,92,向新立,101728,1,82,59,39,72,76,67,13828099349
1729,84,77,88,杜正雪,101729,0,58,52,40,70,92,82,13077684763
1730,89,87,80,丁个花,101730,0,53,51,41,76,92,80,13188241633
1731,100,87,72,潘北玉,101731,0,56,75,42,89,86,84,13455363670
1732,56,95,97,葛建表,101732,1,70,59,43,90,78,86,13144517708
1733,66,81,91,樊道明,101733,1,86,46,44,96,93,68,13634772931
1734,99,93,70,孙多琳,101734,0,91,97,45,78,82,80,14033489765
1735,61,84,80,贺根关,101735,0,98,96,46,66,76,92,13429179813
1736,88,88,99,彭可成,101736,1,51,50,47,80,69,69,13393512839
1737,83,84,86,樊法倩,101737,1,56,52,48,86,94,65,13781204993
1738,94,91,87,徐希地,101738,1,46,82,49,96,94,93,13145138309
1739,57,90,80,王梅重,101739,0,92,57,50,74,83,71,13710634227
1740,74,75,91,钟国发,101740,1,80,99,51,94,63,83,14095044863
1741,71,85,98,袁梅好,101741,0,68,62,52,65,64,68,13842723974
1742,94,80,91,孙了进,101742,0,59,88,53,89,81,88,13448778186
1743,64,86,92,谭地经,101743,1,54,64,54,72,93,72,13388956829
1744,85,87,94,段所悦,101744,0,65,66,55,94,79,84,13295107576
1745,82,80,89,田学式,101745,1,53,48,56,88,85,70,13995514867
1746,59,93,74,阳美原,101746,1,81,87,57,90,69,90,13649256296
1747,91,92,97,李正法,101747,0,77,94,58,78,66,71,13116416448
1748,73,92,80,任可茜,101748,1,92,80,59,66,92,80,13987593016
1749,83,81,99,陈通相,101749,0,84,65,60,77,90,73,13141191701
1750,100,75,94,邵可关,101750,0,71,98,61,75,65,81,14075094025
1751,82,76,84,马合意,101751,1,62,49,62,91,90,92,13997714941
1752,75,84,70,洪珍工,101752,1,67,100,63,81,59,71,13787924520
1753,68,82,82,叶各变,101753,0,65,61,64,84,96,74,13783782329
1754,68,95,89,万一员,101754,0,88,97,65,73,81,75,13626912747
1755,60,94,78,谭国用,101755,1,48,52,1,94,91,83,13819213334
1756,89,89,82,姜子气,101756,1,46,96,2,68,90,95,13717591082
1757,65,92,93,安一间,101757,0,50,94,3,100,93,67,13974297852
1758,56,82,79,贾利式,101758,0,89,87,4,80,76,84,13518162904
1759,89,88,86,沈在希,101759,0,79,71,5,96,74,88,13645039216
1760,98,83,88,赫多能,101760,0,72,47,6,97,75,94,13228809446
1761,86,75,84,樊莹分,101761,1,74,89,7,76,76,88,13454206015
1762,69,86,88,唐倩义,101762,1,100,87,8,88,70,78,13049855371
1763,70,82,92,孙相变,101763,0,68,80,9,74,78,69,13228385004
1764,60,78,70,岳成心,101764,0,80,97,10,86,94,72,13888636518
1765,78,83,77,杜于个,101765,1,52,56,11,87,63,71,13194303145
1766,76,88,92,梁合和,101766,0,64,57,12,73,86,91,13765554480
1767,80,86,84,金悦有,101767,1,99,71,13,91,90,77,13810123038
1768,78,91,92,崔成玉,101768,0,50,78,14,87,74,88,13542603639
1769,75,75,93,姜全及,101769,0,96,83,15,99,73,65,13076203205
1770,61,90,77,方民原,101770,1,93,76,16,93,77,78,13263172137
1771,60,94,91,牛可各,101771,0,55,70,17,83,60,79,14048396588
1772,96,79,98,沈了义,101772,1,47,48,18,81,61,85,13959958660
1773,85,94,84,铁心分,101773,0,59,78,19,94,71,65,13575914697
1774,95,75,74,万瑶悦,101774,0,72,54,20,78,69,95,13382522278
1775,83,82,89,唐梅那,101775,1,51,84,21,80,78,68,13012162452
1776,71,77,91,任果机,101776,0,96,100,22,91,78,79,14033291562
1777,59,94,71,蓝涵形,101777,0,81,72,23,72,65,92,13210569745
1778,95,83,90,温莹式,101778,0,96,45,24,73,67,94,14099697874
1779,56,86,83,毛那法,101779,1,48,82,25,92,68,73,13551948575
1780,78,92,75,施变点,101780,1,47,62,26,77,73,86,13636001690
1781,62,92,98,安蕊那,101781,0,74,74,27,67,93,71,13777167887
1782,65,95,93,潘好瑶,101782,1,61,60,28,88,62,72,13166287720
1783,73,94,93,洪社合,101783,1,93,84,29,91,85,90,13639864614
1784,67,92,70,顾琳来,101784,1,96,69,30,87,96,85,13836541058
1785,71,83,80,铁动分,101785,0,61,90,31,67,97,69,13524924070
1786,91,77,84,江能合,101786,0,93,71,32,96,69,79,13088557497
1787,60,77,86,史因是,101787,0,84,93,33,69,92,70,13688408479
1788,70,76,86,邢法时,101788,1,54,72,34,84,82,79,13355839889
1789,85,86,83,安平一,101789,0,98,57,35,79,83,77,13533356672
1790,91,92,91,丁小明,101790,1,46,89,36,65,87,83,13578797989
1791,75,82,91,江比全,101791,0,79,85,37,98,72,93,13818377876
1792,56,94,97,黄希珍,101792,0,89,84,38,66,62,91,13517171312
1793,67,83,90,郑希全,101793,1,99,85,39,92,78,83,14076441094
1794,92,85,96,李上美,101794,1,87,94,40,68,63,65,14014394408
1795,100,92,92,田雪然,101795,0,97,92,41,86,60,86,13591919187
1796,93,89,77,谭好员,101796,0,96,70,42,70,71,73,13395983635
1797,57,88,77,曹珍本,101797,0,73,75,43,82,83,71,13385628988
1798,84,92,99,乔莹工,101798,0,59,74,44,65,69,94,13956954435
1799,81,76,80,王经丽,101799,0,76,87,45,70,76,78,13629175922
1800,61,83,77,孔倩新,101800,1,55,86,46,76,83,93,13850176706
1801,97,90,91,侯和同,101801,0,99,100,47,75,75,93,13145143847
1802,63,83,76,章重倩,101802,0,84,91,48,93,65,83,13539351911
1803,74,87,83,牛美成,101803,1,69,53,49,77,76,71,13098691432
1804,99,91,83,韦表比,101804,0,57,89,50,92,80,82,13746311983
1805,83,85,83,傅政民,101805,1,53,51,51,86,72,82,13814648416
1806,62,80,71,岳运子,101806,1,70,59,52,69,82,76,13691835742
1807,64,92,83,朱气作,101807,0,68,77,53,74,98,90,13942928537
1808,60,92,88,葛员能,101808,1,49,61,54,96,91,88,13133648703
1809,99,95,74,龙晴电,101809,0,81,83,55,66,64,68,13817797972
1810,73,82,74,薛相公,101810,1,92,90,56,70,85,85,13315811659
1811,78,90,98,陈同间,101811,1,69,55,57,70,97,87,13867915746
1812,90,91,98,罗于丽,101812,1,97,65,58,86,91,77,14064182999
1813,97,77,83,曹根变,101813,1,98,73,59,92,83,93,13867132427
1814,89,90,91,乔样经,101814,1,48,72,60,79,76,65,13098502732
1815,80,82,70,宋员倩,101815,1,94,52,61,99,67,86,13190512163
1816,72,79,75,周机沫,101816,0,94,91,62,90,93,88,13396044125
1817,94,84,80,孟员果,101817,1,74,84,63,85,87,69,13456718480
1818,67,89,86,孟文作,101818,1,91,96,64,94,87,88,13549865927
1819,70,79,82,胡象是,101819,1,89,62,65,96,75,82,13422293592
1820,71,93,97,夏花希,101820,1,56,45,1,69,68,90,13278309592
1821,89,80,83,史通全,101821,0,99,54,2,76,69,87,13662907423
1822,59,80,85,王间可,101822,0,46,72,3,96,95,68,13749227891
1823,93,81,86,傅进社,101823,1,55,69,4,93,77,79,13772741554
1824,85,88,92,乔员玉,101824,0,100,51,5,93,81,85,13992888378
1825,58,88,95,孙了法,101825,1,87,67,6,82,89,94,14055733532
1826,58,79,79,董用中,101826,0,83,98,7,81,84,89,13414726948
1827,80,80,88,邱雪公,101827,1,51,68,8,91,74,89,13043033067
1828,73,83,82,邱小运,101828,1,63,63,9,80,66,69,13616913245
1829,100,90,86,向于义,101829,0,64,98,10,70,83,65,13485062596
1830,99,88,96,常黻气,101830,0,79,77,11,93,91,78,13576801783
1831,61,93,87,向分倩,101831,1,74,91,12,72,96,72,13152914023
1832,62,90,93,翟用点,101832,1,71,57,13,78,97,77,13953597981
1833,91,88,73,孔表重,101833,0,70,56,14,75,59,76,13560504094
1834,65,81,79,毛国立,101834,0,99,51,15,93,95,91,13795232624
1835,87,77,75,赵原社,101835,1,88,85,16,88,68,74,13329789976
1836,78,75,96,段行作,101836,1,60,45,17,68,76,71,13357866525
1837,91,87,71,蓝公珍,101837,0,89,66,18,71,91,83,13519641735
1838,57,85,97,苏作定,101838,0,100,79,19,92,93,76,13840348624
1839,67,76,91,刘多国,101839,1,88,47,20,77,74,90,13896413307
1840,71,93,74,安电黻,101840,0,53,99,21,84,72,82,13328887517
1841,91,91,72,区好公,101841,1,72,73,22,90,61,76,13514008678
1842,85,83,73,段重成,101842,1,68,59,23,69,62,69,13423673035
1843,100,84,100,万各相,101843,1,66,61,24,81,92,78,13322535118
1844,89,87,95,顾正心,101844,0,65,86,25,91,80,76,13490238558
1845,66,88,93,徐想长,101845,0,62,50,26,69,98,76,13028971565
1846,99,92,78,万原动,101846,1,91,80,27,81,85,68,13472201774
1847,91,76,100,金上义,101847,0,83,77,28,75,62,83,13947158376
1848,100,80,87,庄发分,101848,1,51,49,29,85,91,81,13851314443
1849,89,85,88,任有小,101849,1,75,55,30,70,84,80,13399044482
1850,89,83,90,黄质个,101850,0,81,88,31,84,68,74,14023692236
1851,81,76,79,章通彤,101851,0,46,81,32,75,87,94,13946622843
1852,59,94,80,洪中瑶,101852,0,53,52,33,79,96,73,13917714625
1853,71,80,87,夏变实,101853,0,55,47,34,70,92,74,13646237924
1854,96,92,88,高全分,101854,0,66,84,35,95,93,67,13381807867
1855,80,75,92,董子生,101855,0,50,45,36,65,63,65,13842992155
1856,97,88,93,方革茜,101856,0,77,67,37,88,86,65,13844892056
1857,92,93,99,孔学能,101857,1,47,59,38,97,60,69,13037779447
1858,63,76,89,汪学丽,101858,1,74,74,39,85,69,89,13963782955
1859,70,78,91,洪多想,101859,0,58,75,40,82,68,88,13584286867
1860,92,92,98,邱个为,101860,0,98,69,41,95,71,71,13525798343
1861,73,75,91,樊得为,101861,0,95,65,42,86,60,82,14068439143
1862,95,91,96,蒋依道,101862,1,90,90,43,70,75,88,13650844185
1863,82,92,92,韦法一,101863,0,94,99,44,70,83,85,13045687007
1864,73,89,77,夏建明,101864,0,68,60,45,99,76,73,13612022263
1865,78,84,100,董美间,101865,1,61,58,46,100,84,77,13140068954
1866,60,81,92,邱能动,101866,0,89,76,47,66,59,66,13816737519
1867,65,85,76,熊中然,101867,0,56,75,48,73,85,76,13790368834
1868,82,86,87,沈花文,101868,0,91,66,49,89,96,75,13391424877
1869,68,81,81,陆然莹,101869,0,76,50,50,94,66,80,14046262314
1870,66,75,90,孙月依,101870,1,93,89,51,73,94,91,13997291571
1871,85,94,95,徐建部,101871,0,93,47,52,70,66,71,14098986158
1872,84,82,87,韦经相,101872,0,63,93,53,99,98,93,13165674878
1873,86,80,78,苏建瑶,101873,1,65,47,54,67,73,80,13829296228
1874,65,89,88,邵瑶子,101874,1,93,84,55,66,72,68,13130575935
1875,99,75,70,徐公社,101875,0,98,47,56,66,96,82,13216137624
1876,72,90,95,唐道来,101876,0,57,88,57,88,80,83,13045669970
1877,56,80,87,罗在进,101877,1,48,49,58,70,63,77,13944818159
1878,60,94,79,周立理,101878,1,75,66,59,95,60,81,13450571584
1879,72,75,81,钟小间,101879,0,67,82,60,77,93,72,13576403815
1880,73,85,76,申重军,101880,0,50,56,61,91,74,87,13037306749
1881,69,77,79,侯新意,101881,0,52,72,62,93,84,71,13563191686
1882,65,88,74,夏因象,101882,0,65,62,63,70,86,88,13893743712
1883,95,82,93,葛业理,101883,0,81,87,64,87,61,92,13577959708
1884,77,79,75,孔那建,101884,1,83,99,65,76,71,88,13511016298
1885,68,84,87,申彤并,101885,0,48,86,1,82,62,82,13487057208
1886,92,95,87,邵灵文,101886,0,84,49,2,98,72,65,13465385226
1887,88,85,93,毛能义,101887,0,54,61,3,89,98,72,13556359159
1888,95,87,78,贾志月,101888,1,49,88,4,77,71,75,13785955729
1889,96,89,95,钟本动,101889,1,51,63,5,73,70,83,13187015415
1890,79,79,98,沈那于,101890,0,64,82,6,65,98,78,13818431383
1891,62,93,85,汪重行,101891,1,63,87,7,67,82,94,13975919880
1892,72,94,96,马原运,101892,1,77,81,8,98,91,93,13493153728
1893,90,81,100,陶经全,101893,1,54,50,9,78,83,74,13026387674
1894,57,87,95,铁通有,101894,1,92,53,10,88,59,87,13931078106
1895,89,84,95,夏子象,101895,1,98,60,11,96,84,87,13281891798
1896,90,92,89,熊彤并,101896,0,66,55,12,83,88,82,13555437806
1897,96,79,90,沈不灵,101897,1,95,74,13,94,76,84,13512766588
1898,95,90,85,高年建,101898,0,51,72,14,67,62,83,13727635743
1899,61,82,73,施工军,101899,1,52,72,15,81,81,80,14038863953
1900,98,87,94,刘茜年,101900,0,82,63,16,72,72,94,14039128658
1901,71,94,84,谢行文,101901,0,77,66,17,67,88,70,13172782430
1902,61,91,75,汪和建,101902,0,93,76,18,81,89,72,13174621406
1903,72,78,77,孙行经,101903,0,98,50,19,96,68,68,13786907581
1904,76,79,98,史长间,101904,0,97,98,20,81,95,89,13322344517
1905,93,77,78,叶丽运,101905,1,84,56,21,96,81,69,13863122092
1906,90,87,86,高形梅,101906,1,81,53,22,95,83,65,13746994539
1907,75,80,77,叶治工,101907,1,65,73,23,69,61,92,13712213050
1908,67,78,73,俞珍莹,101908,0,88,69,24,94,95,73,14064699804
1909,79,87,89,文一利,101909,1,98,88,25,93,83,87,13476592852
1910,57,91,84,贾义志,101910,0,88,80,26,93,59,68,13661307671
1911,59,81,98,高定实,101911,1,51,89,27,87,61,84,13627428189
1912,85,82,92,崔丽雪,101912,0,94,62,28,72,73,87,13053643109
1913,76,92,77,贺涵新,101913,1,73,50,29,72,70,89,13997704999
1914,70,84,89,张在业,101914,0,92,55,30,65,59,88,13784612349
1915,83,80,72,岳晗业,101915,1,56,52,31,89,98,91,13954449133
1916,61,88,85,孙瑶平,101916,0,50,82,32,78,70,89,13642894030
1917,99,81,71,齐气瑶,101917,0,52,84,33,88,62,87,13187095899
1918,87,83,74,阳年意,101918,0,87,65,34,67,90,69,13130988302
1919,88,80,87,邢新时,101919,0,65,68,35,98,92,85,13043912205
1920,60,87,76,吕大同,101920,0,63,97,36,92,62,75,13513082339
1921,82,82,90,金比起,101921,1,65,48,37,92,78,88,13876853196
1922,75,75,96,谢点乐,101922,1,50,80,38,89,71,88,13526783819
1923,72,93,86,罗想意,101923,0,93,100,39,78,59,93,13860194244
1924,76,79,93,蒋起是,101924,1,73,82,40,71,78,70,13349878694
1925,93,92,75,朱于玉,101925,0,83,85,41,68,98,68,13269053494
1926,76,91,94,程军式,101926,1,59,83,42,81,86,91,13877497042
1927,88,83,91,陶并为,101927,1,85,72,43,92,80,82,13830064188
1928,68,87,91,唐作行,101928,1,77,46,44,93,59,82,13515241702
1929,84,90,85,袁业理,101929,1,94,74,45,100,61,94,14028801725
1930,76,95,80,庄倩中,101930,0,82,78,46,89,89,65,13822911639
1931,91,88,73,丁气机,101931,0,57,55,47,80,96,69,13152115783
1932,85,86,77,牛来月,101932,0,58,45,48,72,81,74,13144793108
1933,73,86,94,吴然部,101933,1,79,77,49,77,89,83,13422876711
1934,63,87,97,汪运晗,101934,0,71,100,50,81,96,80,13941834218
1935,79,91,85,侯不关,101935,1,89,97,51,66,63,79,13261054880
1936,100,77,79,史晴发,101936,1,73,51,52,89,91,81,13736189451
1937,96,85,80,杨月上,101937,0,52,72,53,91,79,75,13638784936
1938,88,94,73,黄同进,101938,1,84,50,54,90,78,83,13274912926
1939,98,94,99,黄起质,101939,1,83,55,55,96,87,91,13286754460
1940,91,93,80,江革建,101940,0,47,88,56,99,81,72,13197009409
1941,97,85,73,颜方气,101941,0,93,63,57,88,87,71,13527053584
1942,55,90,99,陈蕊文,101942,1,55,82,58,98,63,73,13090268490
1943,63,95,89,吕平珍,101943,0,72,85,59,100,71,82,13313661220
1944,84,79,82,莫工全,101944,1,96,47,60,65,82,75,13767092760
1945,88,95,73,杜涵发,101945,1,85,54,61,100,64,81,13717143057
1946,89,91,72,汪定北,101946,0,65,64,62,97,60,84,13036175563
1947,99,83,77,阳道花,101947,0,95,69,63,77,79,78,13352877773
1948,79,91,84,熊象进,101948,1,68,96,64,88,85,74,13474148938
1949,75,94,73,杜玉了,101949,0,93,48,65,68,86,72,13617363723
1950,71,93,70,汪军珍,101950,0,67,53,1,81,74,77,14082353534
1951,88,76,97,陶关彤,101951,0,46,81,2,97,75,72,13513671865
1952,96,91,84,陈业员,101952,1,51,61,3,97,63,95,13815542931
1953,96,87,83,岳部花,101953,1,88,58,4,86,86,88,13276048345
1954,100,83,92,曹原气,101954,0,96,100,5,69,89,72,13987265929
1955,83,90,79,曹重国,101955,0,56,73,6,91,98,82,13535689917
1956,74,86,72,易本是,101956,1,49,56,7,98,71,68,13265745987
1957,81,78,87,曹志平,101957,1,67,100,8,82,64,84,13492044601
1958,67,85,91,魏花国,101958,0,48,86,9,79,83,76,13793994217
1959,59,84,85,孟民业,101959,0,87,99,10,96,60,66,13816021365
1960,70,94,87,雷乐正,101960,1,91,67,11,99,62,77,13041173470
1961,58,83,98,韩茜一,101961,1,64,62,12,96,74,94,14026073850
1962,86,90,97,蒋个实,101962,0,69,68,13,84,72,94,13782677695
1963,81,94,95,任工了,101963,1,56,77,14,95,90,85,14056284594
1964,85,92,97,刘蕊地,101964,1,57,69,15,75,64,78,13756008666
1965,80,87,100,吕义所,101965,0,98,61,16,76,80,87,13716399501
1966,98,95,93,钱丽梅,101966,1,56,50,17,78,87,77,13148967060
1967,96,83,86,高果珍,101967,0,63,71,18,91,94,85,13378375254
1968,72,88,87,程在作,101968,0,58,66,19,65,59,68,13169702794
1969,66,89,77,孟能依,101969,1,74,76,20,84,86,66,13087932272
1970,99,93,83,葛那相,101970,0,47,82,21,84,60,72,13179448591
1971,74,78,85,李月长,101971,1,63,98,22,84,66,86,13163597298
1972,78,76,80,孟黻关,101972,1,97,91,23,70,88,91,14043456137
1973,82,79,96,胡可革,101973,0,92,47,24,78,61,65,13716886407
1974,81,82,73,薛公蕊,101974,1,60,62,25,96,63,83,13257819293
1975,99,83,81,唐同雪,101975,0,87,88,26,92,63,95,13087763232
1976,56,94,93,翟一革,101976,0,85,67,27,69,94,82,13061045918
1977,84,81,82,阳小立,101977,1,85,51,28,88,98,92,13837114716
1978,83,91,73,孔悦能,101978,1,94,54,29,90,61,86,13338298534
1979,88,88,79,孙质形,101979,0,68,92,30,93,94,79,13014736352
1980,85,79,85,吴心晴,101980,1,61,53,31,88,66,88,13095055793
1981,63,82,76,史业公,101981,1,90,86,32,92,59,94,13885125777
1982,79,83,75,邵是变,101982,1,78,74,33,85,67,71,13120017541
1983,60,86,91,易民晴,101983,1,91,71,34,68,78,65,13994295508
1984,62,79,85,秦上能,101984,0,97,81,35,82,69,66,13789777122
1985,85,85,77,区蕊经,101985,1,77,69,36,84,86,91,13932551244
1986,98,81,87,申文质,101986,0,79,82,37,100,65,93,13073452966
1987,97,79,81,赫通点,101987,1,80,100,38,75,82,76,13568725665
1988,81,80,97,田民为,101988,0,47,53,39,100,79,81,13726924711
1989,67,90,91,樊比方,101989,0,62,74,40,80,68,79,13489589020
1990,82,75,95,史丽梅,101990,0,96,58,41,93,92,88,13590019625
1991,57,94,88,贾好果,101991,1,84,95,42,97,79,67,13021656555
1992,83,86,92,乔意全,101992,1,90,62,43,70,92,68,13530058696
1993,67,87,76,雷变行,101993,0,45,75,44,68,72,92,13723462038
1994,65,81,84,莫政治,101994,0,92,56,45,95,85,82,13135317272
1995,77,87,92,沈气于,101995,0,88,95,46,92,68,94,13929988023
1996,82,87,78,杜各各,101996,0,81,51,47,80,68,66,13934538516
1997,68,93,71,毛革理,101997,0,83,80,48,97,98,80,13775756607
1998,61,87,74,崔气生,101998,1,64,84,49,65,82,78,13830024755
1999,63,92,100,韩花果,101999,0,79,76,50,82,65,87,13633322457
2000,96,88,96,任有不,102000,0,78,82,51,76,81,77,13370236555
2001,95,79,73,申机定,102001,0,70,91,52,99,77,79,13144412064
2002,67,91,98,夏时进,102002,0,83,88,53,87,87,85,13676171720
2003,73,92,99,陶了灵,102003,1,57,60,54,90,61,67,13691418878
2004,78,84,86,蓝了成,102004,0,53,97,55,90,76,73,14095947593
2005,96,85,98,朱利机,102005,1,66,72,56,94,70,67,13430617437
2006,60,78,94,牛道新,102006,1,80,83,57,91,83,83,13794406800
2007,92,79,83,史形公,102007,1,47,46,58,97,74,65,14087375596
2008,88,79,84,韦治定,102008,1,97,92,59,71,85,65,14055053647
2009,81,85,91,熊展和,102009,1,100,83,60,90,85,68,13772384710
2010,76,95,82,聂方平,102010,0,57,48,61,83,83,87,13681802196
2011,62,93,70,韩美并,102011,1,75,74,62,86,93,91,13751957784
2012,99,91,82,杨法莹,102012,0,60,61,63,72,70,93,13261865239
2013,93,90,79,赵文珍,102013,1,77,49,64,76,70,81,13836407809
2014,86,82,80,张年希,102014,1,63,60,65,85,71,88,13751719995
2015,96,89,76,庞起一,102015,0,52,46,1,78,79,71,13610823939
2016,73,75,85,夏个明,102016,0,89,68,2,69,87,78,13658342497
2017,80,75,81,马个建,102017,0,87,79,3,74,68,80,13796926676
2018,73,95,74,陈月那,102018,1,61,45,4,93,83,66,13436537386
2019,72,90,74,许小利,102019,0,51,50,5,90,82,78,14054535299
2020,88,89,79,张合那,102020,0,80,96,6,81,79,79,13475176638
2021,72,78,99,安理正,102021,1,79,72,7,72,92,89,13622533375
2022,89,92,99,沈比动,102022,0,63,95,8,82,89,81,13668331345
2023,92,85,86,张上艺,102023,0,53,63,9,73,73,77,13197844194
2024,89,92,92,聂进发,102024,1,51,91,10,90,64,91,14059766709
2025,88,92,98,邵上茜,102025,0,86,50,11,88,91,92,13991993590
2026,77,77,91,阳立长,102026,0,77,46,12,84,67,68,13518753500
2027,98,93,88,陶经部,102027,0,79,80,13,95,85,92,14028147420
2028,94,88,88,罗为气,102028,1,62,64,14,79,77,82,13789122156
2029,87,84,74,史发方,102029,0,86,84,15,94,65,66,13263722329
2030,98,82,85,贾莹得,102030,0,100,91,16,84,63,81,13825294986
2031,73,81,77,姜一军,102031,0,48,69,17,70,93,76,13860742153
2032,96,80,78,颜和军,102032,1,92,97,18,84,81,86,13839574808
2033,70,91,71,莫蕊那,102033,0,87,50,19,94,97,66,14058077808
2034,95,81,91,牛合学,102034,0,99,89,20,88,59,69,13522195370
2035,56,86,94,袁得花,102035,0,61,99,21,76,92,76,13996486812
2036,83,95,84,萧晴乐,102036,0,79,47,22,84,82,75,13038209777
2037,72,79,98,孔象发,102037,1,73,50,23,87,59,68,13645991054
2038,63,88,80,张月意,102038,1,47,88,24,88,98,73,13140782379
2039,61,79,88,庞全政,102039,0,51,58,25,75,94,86,13459301700
2040,79,93,92,刘和本,102040,1,73,97,26,78,84,90,13336579818
2041,69,83,97,文北部,102041,1,58,68,27,98,66,78,13138828471
2042,87,91,100,萧时关,102042,0,52,69,28,71,62,75,13413255942
2043,55,79,90,阳倩平,102043,1,88,74,29,75,87,94,14082162141
2044,83,80,100,尹想气,102044,0,99,90,30,77,75,84,13584654231
2045,70,85,91,庄运为,102045,0,96,90,31,84,72,83,13592219219
2046,60,78,98,韦平原,102046,1,90,84,32,70,91,73,13514958682
2047,63,78,71,文想质,102047,0,78,46,33,79,64,69,13580013964
2048,95,91,81,陈多意,102048,1,86,100,34,75,96,71,13892907730
2049,89,94,93,唐想分,102049,1,98,95,35,82,74,90,13053666027
2050,80,87,73,齐及通,102050,1,96,56,36,98,70,86,13563808586
2051,89,89,91,徐不部,102051,0,45,68,37,67,63,66,13622318419
2052,62,83,81,夏通年,102052,0,94,58,38,84,93,87,13366894324
2053,77,84,79,何实珍,102053,1,48,75,39,67,69,84,13341421798
2054,97,86,87,蒋晴并,102054,1,77,46,40,100,95,77,13672121450
2055,98,76,82,金上义,102055,1,56,98,41,75,83,83,13720831799
2056,75,76,100,刘地然,102056,1,97,64,42,74,72,93,14065071135
2057,67,82,81,樊学运,102057,0,51,95,43,95,85,68,13587266082
2058,98,81,92,岳新在,102058,1,56,86,44,75,88,93,13366956873
2059,57,85,96,刘展立,102059,0,55,49,45,96,77,72,13045851944
2060,65,78,95,安志可,102060,1,90,52,46,75,86,67,13611558774
2061,81,75,72,龙通了,102061,1,57,62,47,77,90,66,13041121852
2062,73,77,74,杜国新,102062,0,82,49,48,80,97,79,13683678317
2063,94,79,73,尹展作,102063,0,70,73,49,66,91,87,13131272289
2064,72,85,94,易全经,102064,0,78,54,50,93,95,82,13517479625
2065,91,92,72,邱利电,102065,0,95,94,51,76,80,76,13979879742
2066,94,85,100,汪道琳,102066,0,46,93,52,70,94,89,13228666220
2067,78,77,70,白式样,102067,0,55,72,53,66,89,80,13417933880
2068,81,90,76,葛来理,102068,1,90,45,54,74,84,84,13857147161
2069,87,75,76,岳希莹,102069,0,74,71,55,67,76,93,13839426565
2070,95,77,74,雷实学,102070,1,67,84,56,85,69,87,13623914080
2071,57,95,73,史实展,102071,0,83,61,57,95,95,74,13567624006
2072,75,79,81,曾为悦,102072,1,92,79,58,79,79,68,14077492793
